N_OPTIONS,RT,correct,current_time,filter_cost,guess,guess_number,guess_number_human,guess_size,max_guess_size,nStartingGuesses,overlap,phase,pid,start_time,total_trials,trial_id,true_set,true_set_size,whose_guess,uniqueid,opts_remaining_prev,opts_remaining_post,all_within,all_independent,all_wn_or_ind
12,5379,1,1714507870511,0,C100010001000,9,7,3,6,2,3,TEST,5872418,1714507823853,10,1,C100010001000,3,human,debugLpDTf:debugMerNV,1,1,0,0,0
12,1,0,1714507883488,0,C101110100010,1,0,6,6,3,1,TEST,5872418,1714507823853,10,2,C000000010011,3,model,debugLpDTf:debugMerNV,220,90,1,1,1
12,9,0,1714507883497,0,C000111111000,2,0,6,6,3,1,TEST,5872418,1714507823853,10,2,C000000010011,3,model,debugLpDTf:debugMerNV,90,36,0,0,0
12,12,0,1714507883510,0,C001000011110,3,0,5,6,3,2,TEST,5872418,1714507823853,10,2,C000000010011,3,model,debugLpDTf:debugMerNV,36,12,0,0,0
12,8060,0,1714507891571,0,C111100000000,4,1,4,6,3,0,TEST,5872418,1714507823853,10,2,C000000010011,3,human,debugLpDTf:debugMerNV,12,3,0,0,0
12,4197,0,1714507895771,0,C000011110000,5,2,4,6,3,1,TEST,5872418,1714507823853,10,2,C000000010011,3,human,debugLpDTf:debugMerNV,3,2,1,0,1
12,3681,0,1714507899455,0,C000000001111,6,3,4,6,3,2,TEST,5872418,1714507823853,10,2,C000000010011,3,human,debugLpDTf:debugMerNV,2,2,0,0,0
12,4361,0,1714507903819,0,C000000001100,7,4,2,6,3,0,TEST,5872418,1714507823853,10,2,C000000010011,3,human,debugLpDTf:debugMerNV,2,1,1,0,1
12,18263,0,1714507922087,0,C000000010010,8,5,2,6,3,2,TEST,5872418,1714507823853,10,2,C000000010011,3,human,debugLpDTf:debugMerNV,1,1,1,0,1
12,10056,1,1714507932147,0,C000000010011,9,6,3,6,3,3,TEST,5872418,1714507823853,10,2,C000000010011,3,human,debugLpDTf:debugMerNV,1,1,0,0,0
12,1,0,1714507934154,0,C010001100111,1,0,6,6,3,1,TEST,5872418,1714507823853,10,3,C011000001000,3,model,debugLpDTf:debugMerNV,220,90,1,1,1
12,12,0,1714507934166,0,C100000111011,2,0,6,6,3,1,TEST,5872418,1714507823853,10,3,C011000001000,3,model,debugLpDTf:debugMerNV,90,36,0,0,0
12,11,0,1714507934178,0,C111000010100,3,0,5,6,3,2,TEST,5872418,1714507823853,10,3,C011000001000,3,model,debugLpDTf:debugMerNV,36,12,0,0,0
12,10064,0,1714507944243,0,C110000000000,4,1,2,6,3,1,TEST,5872418,1714507823853,10,3,C011000001000,3,human,debugLpDTf:debugMerNV,12,6,1,0,1
12,2095,0,1714507946343,0,C001000000000,5,2,1,6,3,1,TEST,5872418,1714507823853,10,3,C011000001000,3,human,debugLpDTf:debugMerNV,6,2,1,0,1
12,2464,0,1714507948812,0,C100000000000,6,3,1,6,3,0,TEST,5872418,1714507823853,10,3,C011000001000,3,human,debugLpDTf:debugMerNV,2,1,1,0,1
12,7344,0,1714507956159,0,C011000000010,7,4,3,6,3,2,TEST,5872418,1714507823853,10,3,C011000001000,3,human,debugLpDTf:debugMerNV,1,1,0,0,0
12,4224,0,1714507960387,0,C011010000000,8,5,3,6,3,2,TEST,5872418,1714507823853,10,3,C011000001000,3,human,debugLpDTf:debugMerNV,1,1,0,0,0
12,8313,0,1714507968703,0,C011000100000,9,6,3,6,3,2,TEST,5872418,1714507823853,10,3,C011000001000,3,human,debugLpDTf:debugMerNV,1,1,0,0,0
12,3153,0,1714507971859,0,C011000010000,10,7,3,6,3,2,TEST,5872418,1714507823853,10,3,C011000001000,3,human,debugLpDTf:debugMerNV,1,1,1,0,1
12,3822,0,1714507975687,0,C011001000000,11,8,3,6,3,2,TEST,5872418,1714507823853,10,3,C011000001000,3,human,debugLpDTf:debugMerNV,1,1,0,0,0
12,5901,0,1714507981591,0,C011000000100,12,9,3,6,3,2,TEST,5872418,1714507823853,10,3,C011000001000,3,human,debugLpDTf:debugMerNV,1,1,1,0,1
12,3553,0,1714507985147,0,C011000000010,13,10,3,6,3,2,TEST,5872418,1714507823853,10,3,C011000001000,3,human,debugLpDTf:debugMerNV,1,1,1,0,1
12,5,0,1714508064112,4,C000000000111,1,0,3,6,4,0,TEST,3118359,1714508059662,10,1,C100001100000,3,model,debugLpDTf:debugMerNV,220,84,1,1,1
12,6,0,1714508064120,4,C000111000000,2,0,3,6,4,1,TEST,3118359,1714508059662,10,1,C100001100000,3,model,debugLpDTf:debugMerNV,84,45,0,1,1
12,9,0,1714508064130,4,C000000111000,3,0,3,6,4,1,TEST,3118359,1714508059662,10,1,C100001100000,3,model,debugLpDTf:debugMerNV,45,27,0,1,1
12,12,0,1714508064142,4,C000100100000,4,0,2,6,4,1,TEST,3118359,1714508059662,10,1,C100001100000,3,model,debugLpDTf:debugMerNV,27,12,0,0,0
12,12584,0,1714508076727,4,C000100010000,5,1,2,6,4,0,TEST,3118359,1714508059662,10,1,C100001100000,3,human,debugLpDTf:debugMerNV,12,6,0,0,0
12,4267,0,1714508080999,4,C000010101000,6,2,3,6,4,1,TEST,3118359,1714508059662,10,1,C100001100000,3,human,debugLpDTf:debugMerNV,6,3,0,0,0
12,10858,0,1714508091861,4,C000100000000,7,3,1,6,4,0,TEST,3118359,1714508059662,10,1,C100001100000,3,human,debugLpDTf:debugMerNV,3,3,1,0,1
12,6721,0,1714508098583,4,C011010000000,8,4,3,6,4,0,TEST,3118359,1714508059662,10,1,C100001100000,3,human,debugLpDTf:debugMerNV,3,1,0,0,0
12,3234,0,1714508101820,4,C010010000000,9,5,2,6,4,0,TEST,3118359,1714508059662,10,1,C100001100000,3,human,debugLpDTf:debugMerNV,1,1,1,0,1
12,4111,0,1714508105936,4,C100000000000,10,6,1,6,4,1,TEST,3118359,1714508059662,10,1,C100001100000,3,human,debugLpDTf:debugMerNV,1,1,0,1,1
12,17324,0,1714508123263,4,C100100010000,11,7,3,6,4,1,TEST,3118359,1714508059662,10,1,C100001100000,3,human,debugLpDTf:debugMerNV,1,1,0,0,0
12,8016,0,1714508131282,4,C100010100000,12,8,3,6,4,2,TEST,3118359,1714508059662,10,1,C100001100000,3,human,debugLpDTf:debugMerNV,1,1,0,0,0
12,4821,0,1714508136107,4,C100010001000,13,9,3,6,4,1,TEST,3118359,1714508059662,10,1,C100001100000,3,human,debugLpDTf:debugMerNV,1,1,0,0,0
12,24891,1,1714508161003,4,C100001100000,14,10,3,6,4,3,TEST,3118359,1714508059662,10,1,C100001100000,3,human,debugLpDTf:debugMerNV,1,1,0,0,0
12,0,0,1714508163570,4,C000000000111,1,0,3,6,4,2,TEST,3118359,1714508059662,10,2,C000000010011,3,model,debugLpDTf:debugMerNV,220,27,1,1,1
12,9,0,1714508163579,4,C000000111000,2,0,3,6,4,1,TEST,3118359,1714508059662,10,2,C000000010011,3,model,debugLpDTf:debugMerNV,27,9,0,1,1
12,13,0,1714508163592,4,C000000010100,3,0,2,6,4,1,TEST,3118359,1714508059662,10,2,C000000010011,3,model,debugLpDTf:debugMerNV,9,5,0,0,0
12,11,0,1714508163604,4,C000000100100,4,0,2,6,4,0,TEST,3118359,1714508059662,10,2,C000000010011,3,model,debugLpDTf:debugMerNV,5,1,0,0,0
12,18447,1,1714508182051,4,C000000010011,5,1,3,6,4,3,TEST,3118359,1714508059662,10,2,C000000010011,3,human,debugLpDTf:debugMerNV,1,1,0,0,0
12,0,0,1714508183940,4,C000111000000,1,0,3,6,2,2,TEST,3118359,1714508059662,10,3,C000101001000,3,model,debugLpDTf:debugMerNV,220,27,1,1,1
12,11,0,1714508183951,4,C000000111000,2,0,3,6,2,1,TEST,3118359,1714508059662,10,3,C000101001000,3,model,debugLpDTf:debugMerNV,27,9,0,1,1
12,8772,0,1714508192724,4,C000110100000,3,1,3,6,2,1,TEST,3118359,1714508059662,10,3,C000101001000,3,human,debugLpDTf:debugMerNV,9,4,0,0,0
12,5136,0,1714508197862,4,C000101010000,4,2,3,6,2,2,TEST,3118359,1714508059662,10,3,C000101001000,3,human,debugLpDTf:debugMerNV,4,2,0,0,0
12,3013,1,1714508200876,4,C000101001000,5,3,3,6,2,3,TEST,3118359,1714508059662,10,3,C000101001000,3,human,debugLpDTf:debugMerNV,2,1,0,0,0
12,4848,0,1714508208016,0,C111111000000,1,1,6,6,0,2,TEST,3118359,1714508059662,10,4,C010010001000,3,human,debugLpDTf:debugMerNV,220,90,1,1,1
12,2544,0,1714508210563,0,C000111000000,2,2,3,6,0,1,TEST,3118359,1714508059662,10,4,C010010001000,3,human,debugLpDTf:debugMerNV,90,54,1,0,1
12,4168,0,1714508214735,0,C100100100000,3,3,3,6,0,0,TEST,3118359,1714508059662,10,4,C010010001000,3,human,debugLpDTf:debugMerNV,54,20,0,0,0
12,3200,0,1714508217940,0,C010010010000,4,4,3,6,0,2,TEST,3118359,1714508059662,10,4,C010010001000,3,human,debugLpDTf:debugMerNV,20,6,0,0,0
12,3585,1,1714508221528,0,C010010001000,5,5,3,6,0,3,TEST,3118359,1714508059662,10,4,C010010001000,3,human,debugLpDTf:debugMerNV,6,1,0,0,0
12,4262,0,1714508228556,0,C111111000000,1,1,6,6,0,2,TEST,3118359,1714508059662,10,5,C011000000100,3,human,debugLpDTf:debugMerNV,220,90,1,1,1
12,3440,0,1714508232000,0,C000000111000,2,2,3,6,0,0,TEST,3118359,1714508059662,10,5,C011000000100,3,human,debugLpDTf:debugMerNV,90,45,0,1,1
12,3495,0,1714508235500,0,C111000000100,3,3,4,6,0,3,TEST,3118359,1714508059662,10,5,C011000000100,3,human,debugLpDTf:debugMerNV,45,3,0,0,0
12,4885,0,1714508240388,0,C110000000100,4,4,3,6,0,2,TEST,3118359,1714508059662,10,5,C011000000100,3,human,debugLpDTf:debugMerNV,3,2,1,0,1
12,3280,0,1714508243672,0,C101000000100,5,5,3,6,0,2,TEST,3118359,1714508059662,10,5,C011000000100,3,human,debugLpDTf:debugMerNV,2,1,1,0,1
12,4096,1,1714508247772,0,C011000000100,6,6,3,6,0,3,TEST,3118359,1714508059662,10,5,C011000000100,3,human,debugLpDTf:debugMerNV,1,1,1,0,1
12,2,0,1714508775116,0,C010010011011,1,0,6,6,4,2,TEST,1719746,1714508746715,10,1,C110010000000,3,model,debugLMfc8:debugRopCq,220,90,1,1,1
12,4,0,1714508775121,0,C110001001101,2,0,6,6,4,2,TEST,1719746,1714508746715,10,1,C110010000000,3,model,debugLMfc8:debugRopCq,90,36,0,0,0
12,10,0,1714508775132,0,C000011001110,3,0,5,6,4,1,TEST,1719746,1714508746715,10,1,C110010000000,3,model,debugLMfc8:debugRopCq,36,15,0,0,0
12,10,0,1714508775142,0,C110011010100,4,0,6,6,4,3,TEST,1719746,1714508746715,10,1,C110010000000,3,model,debugLMfc8:debugRopCq,15,3,0,0,0
12,32109,0,1714508807252,0,C111111000000,5,1,6,6,4,3,TEST,1719746,1714508746715,10,1,C110010000000,3,human,debugLMfc8:debugRopCq,3,1,0,0,0
12,5794,0,1714508813047,0,C000000111111,6,2,6,6,4,0,TEST,1719746,1714508746715,10,1,C110010000000,3,human,debugLMfc8:debugRopCq,1,1,0,0,0
12,38828,1,1714508851876,0,C110010000000,7,3,3,6,4,3,TEST,1719746,1714508746715,10,1,C110010000000,3,human,debugLMfc8:debugRopCq,1,1,1,0,1
12,0,0,1714508854029,4,C000000001111,1,0,4,6,4,2,TEST,1719746,1714508746715,10,2,C000000100110,3,model,debugLMfc8:debugRopCq,220,48,1,1,1
12,10,0,1714508854039,4,C000000001100,2,0,2,6,4,1,TEST,1719746,1714508746715,10,2,C000000100110,3,model,debugLMfc8:debugRopCq,48,32,1,0,1
12,11,0,1714508854050,4,C000000011000,3,0,2,6,4,0,TEST,1719746,1714508746715,10,2,C000000100110,3,model,debugLMfc8:debugRopCq,32,14,0,0,0
12,10,0,1714508854060,4,C000111100000,4,0,4,6,4,1,TEST,1719746,1714508746715,10,2,C000000100110,3,model,debugLMfc8:debugRopCq,14,8,0,1,1
12,26944,0,1714508881004,4,C111111000000,5,1,6,6,4,0,TEST,1719746,1714508746715,10,2,C000000100110,3,human,debugLMfc8:debugRopCq,8,2,0,0,0
12,14408,1,1714508895413,4,C000000100110,6,2,3,6,4,3,TEST,1719746,1714508746715,10,2,C000000100110,3,human,debugLMfc8:debugRopCq,2,1,0,0,0
12,0,0,1714508896685,4,C000000000111,1,0,3,6,1,0,TEST,1719746,1714508746715,10,3,C010010001000,3,model,debugLMfc8:debugRopCq,220,84,1,1,1
12,5349,0,1714508902034,4,C111111000000,2,1,6,6,1,2,TEST,1719746,1714508746715,10,3,C010010001000,3,human,debugLMfc8:debugRopCq,84,45,0,1,1
12,3411,0,1714508905446,4,C000000111000,3,2,3,6,1,1,TEST,1719746,1714508746715,10,3,C010010001000,3,human,debugLMfc8:debugRopCq,45,45,0,1,1
12,8437,0,1714508913884,4,C000000001000,4,3,1,6,1,1,TEST,1719746,1714508746715,10,3,C010010001000,3,human,debugLMfc8:debugRopCq,45,15,1,0,1
12,8298,0,1714508922183,4,C101010000000,5,4,3,6,1,1,TEST,1719746,1714508746715,10,3,C010010001000,3,human,debugLMfc8:debugRopCq,15,9,1,0,1
12,4853,0,1714508927037,4,C010101000000,6,5,3,6,1,1,TEST,1719746,1714508746715,10,3,C010010001000,3,human,debugLMfc8:debugRopCq,9,9,1,0,1
12,14510,0,1714508941548,4,C000011001000,7,6,3,6,1,2,TEST,1719746,1714508746715,10,3,C010010001000,3,human,debugLMfc8:debugRopCq,9,4,0,0,0
12,6722,0,1714508948271,4,C001001001000,8,7,3,6,1,1,TEST,1719746,1714508746715,10,3,C010010001000,3,human,debugLMfc8:debugRopCq,4,2,0,0,0
12,9558,0,1714508957829,4,C000110001000,9,8,3,6,1,2,TEST,1719746,1714508746715,10,3,C010010001000,3,human,debugLMfc8:debugRopCq,2,1,0,0,0
12,3240,1,1714508961070,4,C010010001000,10,9,3,6,1,3,TEST,1719746,1714508746715,10,3,C010010001000,3,human,debugLMfc8:debugRopCq,1,1,0,0,0
12,4227,0,1714508966215,4,C111111000000,1,1,6,6,0,1,TEST,1719746,1714508746715,10,4,C000001101000,3,human,debugLMfc8:debugRopCq,220,90,1,1,1
12,2890,0,1714508969106,4,C000000111111,2,2,6,6,0,2,TEST,1719746,1714508746715,10,4,C000001101000,3,human,debugLMfc8:debugRopCq,90,90,0,1,1
12,6821,0,1714508975928,4,C101010101010,3,3,6,6,0,2,TEST,1719746,1714508746715,10,4,C000001101000,3,human,debugLMfc8:debugRopCq,90,36,0,0,0
12,5318,0,1714508981247,4,C010101010101,4,4,6,6,0,1,TEST,1719746,1714508746715,10,4,C000001101000,3,human,debugLMfc8:debugRopCq,36,36,0,0,0
12,9702,0,1714508990949,4,C101010000000,5,5,3,6,0,0,TEST,1719746,1714508746715,10,4,C000001101000,3,human,debugLMfc8:debugRopCq,36,9,1,0,1
12,6786,0,1714508997736,4,C000000101010,6,6,3,6,0,2,TEST,1719746,1714508746715,10,4,C000001101000,3,human,debugLMfc8:debugRopCq,9,9,1,0,1
12,2259,0,1714508999996,4,C000000001010,7,7,2,6,0,1,TEST,1719746,1714508746715,10,4,C000001101000,3,human,debugLMfc8:debugRopCq,9,6,1,0,1
12,2086,0,1714509002083,4,C000000101000,8,8,2,6,0,2,TEST,1719746,1714508746715,10,4,C000001101000,3,human,debugLMfc8:debugRopCq,6,3,1,0,1
12,13051,0,1714509015135,4,C010000101000,9,9,3,6,0,2,TEST,1719746,1714508746715,10,4,C000001101000,3,human,debugLMfc8:debugRopCq,3,2,0,0,0
12,3103,0,1714509018239,4,C000100101000,10,10,3,6,0,2,TEST,1719746,1714508746715,10,4,C000001101000,3,human,debugLMfc8:debugRopCq,2,1,0,0,0
12,3545,1,1714509021785,4,C000001101000,11,11,3,6,0,3,TEST,1719746,1714508746715,10,4,C000001101000,3,human,debugLMfc8:debugRopCq,1,1,0,0,0
12,1,0,1714509023074,0,C010111010001,1,0,6,6,1,2,TEST,1719746,1714508746715,10,5,C001011000000,3,model,debugLMfc8:debugRopCq,220,90,1,1,1
12,8415,0,1714509031489,0,C111111000000,2,1,6,6,1,3,TEST,1719746,1714508746715,10,5,C001011000000,3,human,debugLMfc8:debugRopCq,90,12,0,0,0
12,5144,0,1714509036634,0,C101010000000,3,2,3,6,1,2,TEST,1719746,1714508746715,10,5,C001011000000,3,human,debugLMfc8:debugRopCq,12,6,1,0,1
12,3106,0,1714509039741,0,C111000000000,4,3,3,6,1,1,TEST,1719746,1714508746715,10,5,C001011000000,3,human,debugLMfc8:debugRopCq,6,4,1,0,1
12,6510,0,1714509046252,0,C001010000000,5,4,2,6,1,2,TEST,1719746,1714508746715,10,5,C001011000000,3,human,debugLMfc8:debugRopCq,4,2,1,0,1
12,2094,0,1714509048346,0,C001110000000,6,5,3,6,1,2,TEST,1719746,1714508746715,10,5,C001011000000,3,human,debugLMfc8:debugRopCq,2,1,1,0,1
12,2001,1,1714509050348,0,C001011000000,7,6,3,6,1,3,TEST,1719746,1714508746715,10,5,C001011000000,3,human,debugLMfc8:debugRopCq,1,1,1,0,1
12,0,0,1714509051076,4,C000000000111,1,0,3,6,1,1,TEST,1719746,1714508746715,10,6,C000011000010,3,model,debugLMfc8:debugRopCq,220,108,1,1,1
12,3170,0,1714509054246,4,C111111000000,2,1,6,6,1,2,TEST,1719746,1714508746715,10,6,C000011000010,3,human,debugLMfc8:debugRopCq,108,45,0,1,1
12,2766,0,1714509057012,4,C000000000010,3,2,1,6,1,1,TEST,1719746,1714508746715,10,6,C000011000010,3,human,debugLMfc8:debugRopCq,45,15,1,0,1
12,3355,0,1714509060367,4,C000001000010,4,3,2,6,1,2,TEST,1719746,1714508746715,10,6,C000011000010,3,human,debugLMfc8:debugRopCq,15,5,0,0,0
12,6508,0,1714509066875,4,C100001000010,5,4,3,6,1,2,TEST,1719746,1714508746715,10,6,C000011000010,3,human,debugLMfc8:debugRopCq,5,4,0,0,0
12,2810,0,1714509069685,4,C010001000010,6,5,3,6,1,2,TEST,1719746,1714508746715,10,6,C000011000010,3,human,debugLMfc8:debugRopCq,4,3,0,0,0
12,2245,0,1714509071931,4,C001001000010,7,6,3,6,1,2,TEST,1719746,1714508746715,10,6,C000011000010,3,human,debugLMfc8:debugRopCq,3,2,0,0,0
12,2491,0,1714509074422,4,C000101000010,8,7,3,6,1,2,TEST,1719746,1714508746715,10,6,C000011000010,3,human,debugLMfc8:debugRopCq,2,1,0,0,0
12,2279,1,1714509076702,4,C000011000010,9,8,3,6,1,3,TEST,1719746,1714508746715,10,6,C000011000010,3,human,debugLMfc8:debugRopCq,1,1,0,0,0
12,0,0,1714509077415,4,C000000000111,1,0,3,6,1,1,TEST,1719746,1714508746715,10,7,C001100000001,3,model,debugLMfc8:debugRopCq,220,108,1,1,1
12,4880,0,1714509082295,4,C111111000000,2,1,6,6,1,2,TEST,1719746,1714508746715,10,7,C001100000001,3,human,debugLMfc8:debugRopCq,108,45,0,1,1
12,2274,0,1714509084569,4,C000000111000,3,2,3,6,1,0,TEST,1719746,1714508746715,10,7,C001100000001,3,human,debugLMfc8:debugRopCq,45,45,0,1,1
12,2626,0,1714509087195,4,C000000000001,4,3,1,6,1,1,TEST,1719746,1714508746715,10,7,C001100000001,3,human,debugLMfc8:debugRopCq,45,15,1,0,1
12,2797,0,1714509089992,4,C000011000000,5,4,2,6,1,0,TEST,1719746,1714508746715,10,7,C001100000001,3,human,debugLMfc8:debugRopCq,15,6,1,0,1
12,5159,1,1714509095151,4,C001100000001,6,5,3,6,1,3,TEST,1719746,1714508746715,10,7,C001100000001,3,human,debugLMfc8:debugRopCq,6,1,0,0,0
12,0,0,1714509095925,0,C100110101010,1,0,6,6,2,2,TEST,1719746,1714508746715,10,8,C000101001000,3,model,debugLMfc8:debugRopCq,220,90,1,1,1
12,10,0,1714509095935,0,C010100110011,2,0,6,6,2,1,TEST,1719746,1714508746715,10,8,C000101001000,3,model,debugLMfc8:debugRopCq,90,36,0,0,0
12,6940,0,1714509102875,0,C111111000000,3,1,6,6,2,2,TEST,1719746,1714508746715,10,8,C000101001000,3,human,debugLMfc8:debugRopCq,36,16,0,0,0
12,2697,0,1714509105573,0,C000000111111,4,2,6,6,2,1,TEST,1719746,1714508746715,10,8,C000101001000,3,human,debugLMfc8:debugRopCq,16,16,0,0,0
12,18378,0,1714509123952,0,C000100001000,5,3,2,6,2,2,TEST,1719746,1714508746715,10,8,C000101001000,3,human,debugLMfc8:debugRopCq,16,2,1,0,1
12,10865,1,1714509134817,0,C000101001000,6,4,3,6,2,3,TEST,1719746,1714508746715,10,8,C000101001000,3,human,debugLMfc8:debugRopCq,2,1,0,0,0
12,0,0,1714509136097,0,C110111000010,1,0,6,6,2,2,TEST,1719746,1714508746715,10,9,C000110000001,3,model,debugLMfc8:debugRopCq,220,90,1,1,1
12,9,0,1714509136106,0,C000011010111,2,0,6,6,2,2,TEST,1719746,1714508746715,10,9,C000110000001,3,model,debugLMfc8:debugRopCq,90,36,0,0,0
12,6302,0,1714509142408,0,C111111000000,3,1,6,6,2,2,TEST,1719746,1714508746715,10,9,C000110000001,3,human,debugLMfc8:debugRopCq,36,22,0,0,0
12,13034,0,1714509155443,0,C000000000010,4,2,1,6,2,0,TEST,1719746,1714508746715,10,9,C000110000001,3,human,debugLMfc8:debugRopCq,22,20,1,0,1
12,12073,0,1714509167517,0,C000011000000,5,3,2,6,2,1,TEST,1719746,1714508746715,10,9,C000110000001,3,human,debugLMfc8:debugRopCq,20,18,1,0,1
12,3691,0,1714509171209,0,C000000000001,6,4,1,6,2,1,TEST,1719746,1714508746715,10,9,C000110000001,3,human,debugLMfc8:debugRopCq,18,6,1,0,1
12,3334,0,1714509174544,0,C000001000001,7,5,2,6,2,1,TEST,1719746,1714508746715,10,9,C000110000001,3,human,debugLMfc8:debugRopCq,6,3,1,0,1
12,2088,0,1714509176633,0,C000010000001,8,6,2,6,2,2,TEST,1719746,1714508746715,10,9,C000110000001,3,human,debugLMfc8:debugRopCq,3,3,1,0,1
12,3116,1,1714509179750,0,C000110000001,9,7,3,6,2,3,TEST,1719746,1714508746715,10,9,C000110000001,3,human,debugLMfc8:debugRopCq,3,1,0,0,0
12,1,0,1714509180408,0,C101110100010,1,0,6,6,3,1,TEST,1719746,1714508746715,10,10,C000000010011,3,model,debugLMfc8:debugRopCq,220,90,1,1,1
12,10,0,1714509180418,0,C000111111000,2,0,6,6,3,1,TEST,1719746,1714508746715,10,10,C000000010011,3,model,debugLMfc8:debugRopCq,90,36,0,0,0
12,9,0,1714509180427,0,C001000011110,3,0,5,6,3,2,TEST,1719746,1714508746715,10,10,C000000010011,3,model,debugLMfc8:debugRopCq,36,12,0,0,0
12,8102,0,1714509188529,0,C111111000000,4,1,6,6,3,0,TEST,1719746,1714508746715,10,10,C000000010011,3,human,debugLMfc8:debugRopCq,12,2,0,0,0
12,9749,0,1714509198278,0,C000000111000,5,2,3,6,3,1,TEST,1719746,1714508746715,10,10,C000000010011,3,human,debugLMfc8:debugRopCq,2,2,1,0,1
12,2002,0,1714509200281,0,C000000101100,6,3,3,6,3,0,TEST,1719746,1714508746715,10,10,C000000010011,3,human,debugLMfc8:debugRopCq,2,1,0,0,0
12,2939,0,1714509203221,0,C000000011100,7,4,3,6,3,1,TEST,1719746,1714508746715,10,10,C000000010011,3,human,debugLMfc8:debugRopCq,1,1,1,0,1
12,2155,0,1714509205377,0,C000000011010,8,5,3,6,3,2,TEST,1719746,1714508746715,10,10,C000000010011,3,human,debugLMfc8:debugRopCq,1,1,1,0,1
12,3175,0,1714509208553,0,C000000010010,9,6,2,6,3,2,TEST,1719746,1714508746715,10,10,C000000010011,3,human,debugLMfc8:debugRopCq,1,1,1,0,1
12,1841,0,1714509210395,0,C000000010110,10,7,3,6,3,2,TEST,1719746,1714508746715,10,10,C000000010011,3,human,debugLMfc8:debugRopCq,1,1,1,0,1
12,2066,1,1714509212462,0,C000000010011,11,8,3,6,3,3,TEST,1719746,1714508746715,10,10,C000000010011,3,human,debugLMfc8:debugRopCq,1,1,0,0,0
